"edon.x","disloc2012","escenario3","dsiSQ_E3"
14,3,2,0.151
14,17,4,0.605
14,1,3,0.991
14,19,5,0.593
14,18,4,0.605
14,5,4,0.605
14,15,8,1
14,0,3,0.991
14,2,9,1
14,12,13,0.364
14,9,12,0.682
14,11,12,0.682
14,13,11,0.443
14,14,10,0.646
14,8,13,0.364
14,7,2,0.151
14,16,14,0.793
14,20,16,0.84
14,10,19,0.566
14,4,17,0.748
14,6,19,0.566
