"edon.x","escenario1","escenario3","dsiE1_E3"
15,10,4,1
15,17,16,0.929
15,9,1,0.455
15,5,5,0.364
15,6,9,0.325
15,8,10,0.39
15,1,1,0.455
15,12,11,0.878
15,36,33,1
15,15,15,0.737
15,6,2,0.27
15,42,38,1
15,35,32,0.741
15,9,1,0.455
15,12,13,0.866
15,37,31,0.444
15,37,34,0.291
15,38,37,1
15,10,4,1
15,6,6,0.577
15,15,18,0.234
15,19,17,0.609
15,8,10,0.39
15,25,28,1
15,28,24,1
15,27,23,1
15,23,25,1
15,4,7,0.547
15,3,7,0.547
15,3,8,0.481
15,3,8,0.481
15,6,9,0.325
15,2,2,0.27
15,44,41,1
15,42,38,1
15,21,20,1
15,20,21,1
15,20,21,1
15,22,22,1
15,22,22,1
15,8,3,0.498
15,26,27,1
15,40,35,1
15,32,43,0.481
15,32,43,0.481
