"edon.x","escenario1","escenario3_c8","dsiE1_E3"
12,24,4,0.39
12,24,9,0.491
12,18,5,0.325
12,18,7,0.529
12,20,6,0.413
12,22,8,0.552
12,21,3,0.558
12,12,1,0.486
12,5,20,0.341
12,15,14,0.391
12,15,15,0.76
12,11,22,0.484
12,4,21,0.348
12,12,23,0.59
12,3,26,0.392
12,6,13,0.39
12,6,16,0.256
12,10,27,0.312
12,27,12,1
12,25,11,0.382
12,25,10,0.462
12,11,25,0.826
12,7,24,0.958
12,28,28,0.518
12,13,18,0.364
12,12,19,0.378
12,8,17,0.558
12,4,2,0.664
