"edon.x","disloc1996","escenario1","dsiSQ_E1"
15,13,10,0.421
15,39,17,0.792
15,8,9,0.425
15,45,5,0.99
15,5,6,0.563
15,10,8,0.308
15,9,1,0.549
15,28,12,0.492
15,20,36,0.506
15,23,15,0.644
15,6,6,0.563
15,16,42,0.228
15,38,35,0.356
15,34,9,0.425
15,27,12,0.492
15,36,37,0.429
15,19,37,0.429
15,43,38,0.669
15,14,10,0.421
15,35,6,0.563
15,40,15,0.644
15,31,19,0.339
15,11,8,0.308
15,21,25,0.604
15,22,28,0.477
15,42,27,0.588
15,33,23,0.357
15,17,4,0.547
15,44,3,0.357
15,15,3,0.357
15,3,3,0.357
15,7,6,0.563
15,4,2,0.531
15,30,44,0.495
15,29,42,0.228
15,25,21,0.323
15,32,20,0.608
15,41,20,0.608
15,24,22,0.551
15,26,22,0.551
15,12,8,0.308
15,37,26,0.356
15,18,40,0.648
15,2,32,0.606
15,1,32,0.606
