"edon.x","escenario1","escenario3","dsiE1_E3"
7,5,24,0.285
7,1,16,0.491
7,19,23,0.382
7,23,11,0.524
7,9,18,0.386
7,19,23,0.382
7,9,7,0.416
7,11,6,0.426
7,10,9,0.185
7,23,11,0.524
7,12,19,0.331
7,20,20,1
7,4,12,0.543
7,6,8,0.716
7,23,10,0.333
7,19,23,0.382
7,6,17,0.298
7,23,11,0.524
7,22,4,1
7,24,1,1
7,12,14,0.392
7,2,14,0.392
7,15,13,0.379
7,15,13,0.379
