"edon.x","disloc2015","escenario3_c8","dsiSQ_E3"
12,8,4,0.988
12,4,9,1
12,5,5,1
12,3,7,1
12,9,6,1
12,6,8,1
12,7,3,1
12,26,1,0.925
12,17,20,1
12,28,14,0.963
12,27,15,0.979
12,20,22,1
12,18,21,1
12,23,23,1
12,10,26,1
12,14,13,1
12,15,16,0.981
12,12,27,0.99
12,25,12,0.904
12,1,11,1
12,2,10,1
12,19,25,1
12,22,24,1
12,11,28,1
12,13,18,1
12,24,19,1
12,16,17,1
12,21,2,1
