"edon.x","disloc2013","escenario3_jge","dsiSQ_E3jge"
13,18,1,1
13,10,10,1
13,14,2,1
13,5,3,1
13,16,4,1
13,5,6,1
13,13,7,1
13,18,8,1
13,16,18,1
13,17,9,1
13,2,12,1
13,13,11,1
13,2,16,1
13,1,15,1
13,3,5,1
13,4,14,1
13,12,13,1
13,3,17,1
