"edon.x","escenario1","escenario3_jge","dsiE1_E3jge"
13,8,1,0.697
13,8,10,0.686
13,2,2,0.543
13,2,3,0.286
13,6,4,1
13,5,10,0.686
13,16,7,1
13,1,8,0.881
13,5,10,0.686
13,6,4,1
13,11,9,0.962
13,1,8,0.881
13,7,12,0.874
13,7,1,0.697
13,18,18,1
13,6,4,1
13,1,8,0.881
13,10,13,1
