"edon.x","disloc2013","escenario1","dsiSQ_E1"
21,17,12,0.943
21,6,16,0.349
21,23,8,0.744
21,18,6,0.855
21,22,3,0.839
21,2,19,0.296
21,26,18,0.925
21,20,10,0.819
21,3,7,0.306
21,5,16,0.349
21,21,11,0.812
21,8,2,0.39
21,25,17,0.279
21,4,19,0.296
21,9,2,0.39
21,24,5,0.328
21,7,2,0.39
21,1,15,1
21,19,14,0.843
21,13,26,0.655
21,11,26,0.655
21,10,22,0.261
21,14,25,0.408
21,15,25,0.408
21,16,25,0.408
21,12,24,0.213
21,0,9,0.411
