"edon.x","disloc2012.x","escenario1","dsiSQ_E1"
7,16,5,0.325
7,3,1,0.6
7,7,19,0.455
7,12,23,0.169
7,17,9,0.527
7,4,19,0.455
7,23,9,0.527
7,15,11,1
7,14,10,0.278
7,10,23,0.169
7,24,12,0.538
7,9,20,1
7,13,4,0.655
7,6,6,0.466
7,22,23,0.169
7,21,19,0.455
7,20,6,0.466
7,11,23,0.169
7,8,22,0.537
7,5,24,0.823
7,18,12,0.538
7,19,2,0.338
7,1,15,0.211
7,2,15,0.211
