"edon.x","disloc2010","escenario3_jge","dsiSQ_E3jge"
20,3,1,0.654
20,25,2,0.56
20,22,3,0.678
20,1,16,0.206
20,20,4,0.636
20,15,5,0.616
20,5,18,0.358
20,16,7,0.377
20,19,3,0.678
20,4,10,0.262
20,18,9,0.297
20,24,10,0.262
20,21,5,0.616
20,8,11,0.606
20,23,6,0.438
20,13,12,0.698
20,10,13,0.743
20,14,7,0.377
20,17,15,0.758
20,12,14,0.505
20,2,21,0.255
20,11,19,0.856
20,7,11,0.606
20,6,18,0.358
20,9,13,0.743
