"edon.x","escenario1","escenario3","dsiE1_E3"
27,18,6,1
27,11,3,0.609
27,11,3,0.609
27,16,21,0.387
27,7,11,0.956
27,7,11,0.956
27,7,11,0.956
27,5,12,0.343
27,12,18,0.369
27,14,14,0.581
27,16,9,0.385
27,8,5,0.415
27,19,8,0.375
27,15,19,0.552
27,16,9,0.385
27,19,7,0.351
27,1,1,1
27,17,20,0.616
27,20,8,0.375
27,20,13,0.382
27,18,6,1
