"edon.x","escenario1","escenario3","dsiE1_E3"
21,12,1,0.986
21,16,2,0.51
21,8,3,0.937
21,6,4,0.923
21,3,5,0.957
21,19,6,0.311
21,18,19,1
21,10,8,0.762
21,7,7,0.47
21,16,2,0.51
21,11,10,0.975
21,2,11,1
21,17,9,1
21,19,6,0.311
21,2,11,1
21,5,12,1
21,2,11,1
21,15,14,0.938
21,14,15,1
21,26,26,1
21,26,26,1
21,22,20,1
21,25,25,1
21,25,25,1
21,25,25,1
21,24,24,1
21,9,16,1
