"edon.x","disloc1996","escenario3","dsiSQ_E3"
15,13,4,0.421
15,39,16,0.83
15,8,1,0.516
15,45,5,0.361
15,5,9,0.594
15,10,10,0.46
15,9,1,0.516
15,28,11,0.529
15,20,33,0.506
15,23,15,0.815
15,6,2,0.504
15,16,38,0.228
15,38,32,0.464
15,34,1,0.516
15,27,13,0.39
15,36,31,0.256
15,19,34,0.445
15,43,37,0.669
15,14,4,0.421
15,35,6,0.814
15,40,18,0.208
15,31,17,0.358
15,11,10,0.46
15,21,28,0.604
15,22,24,0.477
15,42,23,0.588
15,33,25,0.357
15,17,7,0.567
15,44,7,0.567
15,15,8,0.286
15,3,8,0.286
15,7,9,0.594
15,4,2,0.504
15,30,41,0.495
15,29,38,0.228
15,25,20,0.323
15,32,21,0.608
15,41,21,0.608
15,24,22,0.551
15,26,22,0.551
15,12,3,0.32
15,37,27,0.356
15,18,35,0.648
15,2,43,0.308
15,1,43,0.308
