"edon.x","escenario1","escenario3","dsiE1_E3"
16,5,14,0.4
16,8,10,0.734
16,9,12,0.572
16,13,9,0.64
16,14,2,0.828
16,3,11,0.556
16,15,8,0.904
16,3,16,0.534
16,11,1,0.805
16,4,6,0.433
16,10,4,1
16,2,15,0.801
16,2,15,0.801
16,13,5,0.753
16,10,4,1
16,12,3,1
16,18,18,1
16,22,20,0.579
16,22,21,0.433
16,21,19,0.493
16,22,19,0.493
16,8,11,0.556
16,10,4,1
16,17,17,1
16,20,22,0.843
