"edon.x","disloc2012.x","escenario3","dsiSQ_E3"
7,16,24,0.292
7,3,16,0.455
7,7,23,0.472
7,12,11,0.416
7,17,18,0.657
7,4,23,0.472
7,23,7,0.515
7,15,6,0.426
7,14,9,0.174
7,10,11,0.416
7,24,19,0.7
7,9,20,1
7,13,12,0.53
7,6,8,0.629
7,22,10,0.341
7,21,23,0.472
7,20,17,0.237
7,11,11,0.416
7,8,4,0.537
7,5,1,0.823
7,18,14,0.485
7,19,14,0.485
7,1,13,0.282
7,2,13,0.282
