"edon.x","disloc2010","escenario1","dsiSQ_E1"
10,16,3,0.308
10,8,2,0.538
10,15,1,0.323
10,2,12,0.39
10,1,12,0.39
10,6,11,0.306
10,3,9,0.353
10,5,11,0.306
10,4,9,0.353
10,14,1,0.323
10,11,13,0.61
10,12,13,0.61
10,13,15,0.403
10,10,15,0.403
10,17,1,0.323
10,9,6,0.276
10,7,2,0.538
