"edon.x","disloc2015","escenario1","dsiSQ_E1"
6,1,15,0.581
6,2,16,0.593
6,5,16,0.593
6,3,16,0.593
6,4,1,0.333
6,6,15,0.581
6,7,4,0.3
6,8,5,0.683
6,9,2,0.636
6,13,8,0.486
6,14,7,0.2
6,11,7,0.2
6,12,8,0.486
6,10,10,0.333
6,15,10,0.333
6,16,12,0.3
