"edon.x","escenario1","escenario3","dsiE1_E3"
14,3,2,0.211
14,8,4,0.455
14,8,3,0.584
14,4,5,0.327
14,8,4,0.455
14,6,4,0.455
14,7,8,0.481
14,2,3,0.584
14,5,9,0.757
14,14,13,1
14,12,12,1
14,12,12,1
14,13,11,1
14,11,10,1
14,14,13,1
14,1,2,0.211
14,20,14,0.657
14,19,16,0.561
14,16,19,0.74
14,17,17,0.817
14,17,19,0.74
