"edon.x","escenario1","escenario3","dsiE1_E3"
2,7,7,1
2,6,6,1
2,1,1,1
2,5,5,1
2,5,5,1
2,5,5,1
2,3,3,1
2,2,2,1
2,12,12,1
2,16,16,1
2,11,11,1
2,11,11,1
2,13,13,1
2,17,17,1
2,17,17,1
2,14,14,1
2,7,7,1
