"edon.x","escenario1","escenario3_cg","dsiE1_E3cg"
13,8,9,0.697
13,8,4,0.686
13,2,1,0.416
13,2,6,0.468
13,6,18,0.6
13,5,4,0.686
13,16,14,1
13,1,7,0.5
13,5,4,0.686
13,6,5,0.581
13,11,18,0.6
13,1,7,0.5
13,7,13,0.874
13,7,9,0.697
13,18,16,1
13,6,5,0.581
13,1,7,0.5
13,10,17,1
