"edon.x","escenario1","escenario3","dsiE1_E3"
6,15,11,0.931
6,16,12,0.8
6,16,12,0.8
6,16,9,0.429
6,1,14,0.371
6,15,11,0.931
6,4,15,0.267
6,5,16,1
6,2,1,0.6
6,8,4,0.529
6,7,2,0.295
6,7,2,0.295
6,8,3,0.714
6,10,6,1
6,10,6,1
6,12,7,1
