"edon.x","disloc2012","escenario3","dsiSQ_E3"
11,13,1,0.458
11,22,2,0.792
11,9,3,0.56
11,17,2,0.792
11,2,4,1
11,16,22,0.388
11,15,22,0.388
11,18,5,0.368
11,21,7,0.598
11,1,8,0.906
11,8,9,0.528
11,19,1,0.458
11,11,13,0.349
11,12,13,0.349
11,4,16,0.306
11,3,16,0.306
11,7,18,0.246
11,5,18,0.246
11,6,18,0.246
11,20,10,0.604
11,10,5,0.368
11,14,12,0.463
