"edon","disloc2018","disloc2010","esc1","esc3cg","esc3jge","esc3trib","dsi_pob","pobtot"
20,1,3,16,1,1,1,0.483301269528835,1172
20,2,25,13,2,2,2,1,977
20,3,22,3,3,3,3,0.319902488187891,1644
20,4,20,17,4,4,4,0.465648282038837,1156
20,5,15,14,5,5,5,1,1012
20,6,5,5,6,18,6,0.950057139922187,885
20,7,16,4,7,7,7,0.196365915775032,3918
20,3,19,2,3,3,3,0.319902488187891,1070
20,8,4,20,8,10,8,0.713089384219854,540
20,3,19,23,3,3,3,0.319902488187891,1851
20,9,18,22,9,9,9,0.25017724649629,2003
20,10,8,11,10,11,10,0.390526687227617,2459
20,11,23,18,11,6,11,0.635290497923183,1481
20,12,13,7,12,12,12,0.556198027958706,1713
20,13,10,19,13,13,13,0.221792070732237,1404
20,14,21,8,14,14,14,0.786771095225406,1861
20,7,14,1,7,7,7,0.196365915775032,334
20,17,5,15,17,17,17,0.786006119772694,1044
20,21,11,10,21,19,21,0.794066279645478,1451
20,20,4,12,20,8,20,0.432100472301881,720
20,25,22,24,25,25,25,0.989954925104814,8738
20,24,1,25,24,24,24,0.989972951200823,1700
20,20,4,9,20,8,20,0.432100472301881,1383
20,13,9,21,13,13,13,0.221792070732237,773
20,19,18,6,19,22,19,1,7866
