"edon","disloc2016","disloc2013","esc1","esc3","dsi_pob","pobtot"
8,11,1,1,1,1,732
8,20,22,3,2,0.906246655713144,1133
8,1,1,4,3,1,2450
8,13,11,5,4,0.90125021534221,637
8,22,21,6,6,1,1583
8,14,13,7,7,0.952746802380705,1489
8,13,14,2,4,0.90125021534221,369
8,18,19,10,10,1,924
8,16,19,11,11,1,622
8,12,15,9,9,1,19342
8,17,15,13,13,1,11893
8,15,17,12,12,1,496
8,19,20,8,8,0.891888055946221,943
8,2,2,16,16,1,7094
8,3,2,14,14,1,776
8,4,2,22,21,1,238
8,5,3,19,20,1,1723
8,6,3,17,18,1,465
8,7,7,21,22,1,605
8,8,9,20,19,1,5971
8,10,9,15,15,1,3450
8,9,7,18,17,1,1199
