"edon","disloc2018","disloc2015","esc1","esc3","dsi_pob","pobtot"
19,20,20,3,1,0.973815906434386,1144
19,21,22,1,2,0.872096574160055,767
19,24,22,2,3,0.379941296806902,243
19,5,16,10,12,1,3790
19,16,16,9,11,1,9198
19,7,16,11,13,1,3155
19,26,26,4,4,0.407051909892262,2174
19,23,23,25,5,0.759178469570261,2417
19,18,18,23,25,1,2003
19,25,17,13,15,1,4598
19,17,17,12,14,1,16014
19,12,15,5,7,1,284
19,15,15,6,8,1,365
19,14,14,8,10,1,6041
19,13,13,7,9,1,1682
19,22,22,26,6,0.948374707469739,6637
19,11,3,19,19,0.982936467497764,1117
19,4,3,20,20,0.996663896199843,1180
19,3,4,21,21,1,1802
19,6,6,18,18,0.959791339932658,137
19,8,7,17,17,1,1690
19,1,1,16,16,1,2276
19,2,1,22,22,1,2497
19,10,11,14,23,0.987450011562911,1594
19,9,10,15,24,0.967971746940267,2935
19,19,19,24,26,1,8475
