"P_total","disloc2016","disloc2013","SQ","dsiSQ_E"
2331,11,6,6,0.426
1986,11,10,6,0.426
465,12,11,11,0.779
8392,16,5,15,0.082
24709,16,0,15,0.082
12481,7,12,12,0.6
2771,16,15,15,0.082
2727,8,13,13,0.321
967,9,16,16,0.322
13928,9,14,16,0.322
499,10,17,17,0.671
959,10,9,17,0.671
4705,6,18,18,0.594
2367,2,2,2,1
1568,3,8,8,0.8
3725,4,1,1,0.765
8231,18,7,7,1
1962,17,4,4,1
6799,1,3,3,1
