"edon","disloc2018","disloc2013","esc1","esc3","dsi_pob","pobtot"
21,12,17,12,1,0.972862820777908,3081
21,5,6,16,2,0.168540017448924,2145
21,23,23,8,3,0.756002029682002,3789
21,13,18,6,4,0.839961633347155,3870
21,22,22,3,5,0.901387423935091,1270
21,2,2,19,6,0.866476744083011,1256
21,26,26,18,19,0.915160369958539,5461
21,14,20,10,8,0.673633458667841,891
21,3,3,7,7,0.625447633017636,2852
21,5,5,16,2,0.168540017448924,3923
21,21,21,11,10,0.831956949621006,2603
21,8,8,2,11,0.40175008773184,1455
21,24,25,17,9,0.357854311841049,835
21,2,4,19,6,0.866476744083011,1763
21,8,9,2,11,0.40175008773184,1450
21,25,24,5,12,0.221415760240685,4030
21,8,7,2,11,0.40175008773184,3111
21,1,1,15,14,0.943416737872938,2270
21,15,19,14,15,0.841443524578318,3891
21,17,13,26,26,0.546574885041079,364
21,17,11,26,26,0.546574885041079,773
21,9,10,22,20,0.231701755515495,1738
21,19,14,25,25,0.415979559844459,2008
21,19,15,25,25,0.415979559844459,1785
21,19,16,25,25,0.415979559844459,10076
21,10,12,24,24,0.220132979620283,1374
