"edon","disloc2016","disloc2007","esc1","esc3","dsi_pob","pobtot"
30,1,10,20,1,1,2034
30,2,10,23,2,1,1557
30,3,10,13,3,0.750447205527702,4453
30,4,10,8,4,1,2328
30,11,20,22,11,0.981033661448055,1515
30,6,NA,15,6,1,3603
30,7,10,14,7,1,2418
30,8,10,25,8,0.893466136238288,1457
30,9,10,5,9,1,2479
30,10,10,24,10,1,6501
30,11,10,7,11,0.981033661448055,2381
30,12,10,10,12,1,1843
30,18,10,21,18,0.698800809842704,1057
30,14,28,1,14,1,1834
30,15,10,4,15,1,1400
30,8,10,19,8,0.893466136238288,2069
30,17,10,11,17,1,3978
30,18,10,3,18,0.698800809842704,1883
30,19,10,17,19,1,2800
30,21,10,16,21,0.227354947798903,1719
30,21,10,2,21,0.227354947798903,397
30,21,NA,6,21,0.227354947798903,17596
30,22,NA,12,22,1,1810
30,23,10,18,23,0.946820844872945,2030
30,20,8,26,20,0.490509428250921,1729
30,26,8,9,26,1,807
30,29,10,30,29,1,3753
30,30,19,29,30,1,17743
30,27,8,28,27,1,4488
30,28,23,27,28,1,627
