"P_total","disloc2016","disloc2013","SQ","dsiSQ_E"
1952,15,14,14,0.345
755,16,15,14,0.396
948,4,1,1,0.748
389,3,2,2,0.444
785,3,3,2,0.444
958,3,4,2,0.444
1785,5,6,6,0.678
1043,1,5,5,0.851
1939,6,7,13,0.11
2750,11,8,8,0.688
1146,10,9,9,0.603
1063,10,12,9,0.603
1603,9,10,12,0.453
808,8,13,11,0.482
2435,8,11,11,0.482
2956,13,16,13,0.121
5564,15,17,14,0.345
