"edon","disloc2015","disloc2013","esc1","esc3","dsi_pob","pobtot"
28,3,13,3,3,1,752
28,10,18,10,10,1,2876
28,9,19,9,9,1,3750
28,1,17,1,1,1,1858
28,12,4,12,12,1,3496
28,8,19,8,8,1,2787
28,2,18,2,2,1,401
28,16,10,16,16,1,2053
28,17,10,17,17,1,1524
28,15,10,15,15,1,2862
28,14,11,14,14,1,1313
28,11,1,11,11,1,12318
28,13,1,13,13,1,1187
28,18,4,18,18,1,3212
28,20,5,20,20,1,462
28,21,6,21,21,1,136
28,19,6,19,19,1,1735
28,22,7,22,22,1,2959
28,7,21,7,7,1,5542
28,6,22,6,6,1,3063
28,5,14,5,5,1,10725
28,4,15,4,4,1,1560
