"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
27,6,1,18,6,0.512159448887043,3737
27,3,19,11,3,0.594675817229547,1801
27,3,2,11,3,0.594675817229547,2913
27,21,3,16,21,0.320473700399877,1395
27,11,20,7,11,0.250552397609678,19842
27,11,4,7,11,0.250552397609678,4328
27,11,21,7,11,0.250552397609678,4098
27,12,5,5,12,0.302845795552441,780
27,18,6,12,18,0.556154754098361,2422
27,14,7,14,14,0.729096432548731,3961
27,9,8,16,9,0.320473700399877,2839
27,5,9,8,5,0.350057377203379,2165
27,8,10,19,8,0.304645825089038,2543
27,19,11,15,19,0.756128824072497,1604
27,9,12,16,9,0.320473700399877,2435
27,7,13,19,7,0.304645825089038,2761
27,1,14,1,1,1,1232
27,20,15,17,20,0.783997827759424,2504
27,8,16,20,8,0.460783326621023,2816
27,13,17,20,13,0.460783326621023,1921
27,6,18,18,6,0.512159448887043,807
