"edon","disloc2018","disloc2015","esc1","esc3","dsi_pob","pobtot"
6,6,1,15,11,0.949798567591764,5884
6,2,2,16,12,0.748400553538838,1916
6,6,1,14,11,0.949798567591764,950
6,1,2,13,9,0.441323971915747,1493
6,4,4,1,14,0.359600061952537,2841
6,5,5,2,13,0.340433102887353,1740
6,7,7,4,15,0.240930698023518,7725
6,7,4,3,15,0.240930698023518,5100
6,8,7,5,16,1,1436
6,16,3,12,7,1,1559
6,13,13,8,4,0.547916021072203,463
6,13,13,7,4,0.547916021072203,1344
6,14,11,6,2,0.281704581864787,2523
6,12,14,9,3,0.928110554699538,6988
6,10,10,10,6,1,4006
6,15,9,11,8,1,1725
