"edon","disloc2018","disloc2012","esc1","esc3","esc3jge","dsi_pob","pobtot"
17,9,9,1,1,1,0.484600265442793,2107
17,4,13,11,11,11,0.608560662494359,2745
17,11,18,2,2,2,0.424086280335869,3542
17,10,16,3,3,3,0.748962141762,1941
17,9,8,4,1,1,0.484600265442793,1071
17,4,14,12,12,11,0.608560662494359,5717
17,2,1,10,9,9,0.894333565332982,4047
17,1,1,8,8,8,0.937625624903365,3264
17,3,2,9,10,10,0.887508068710949,2520
17,5,4,NA,NA,NA,0,5979
17,8,5,5,4,4,1,5445
17,6,6,6,6,6,1,1865
17,12,6,7,7,7,1,6275
