"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
9,5,5,15,15,0.38667654803957,905
9,3,3,16,16,0.677524860648151,701
9,26,26,23,23,0.335159491985247,1668
9,26,32,21,21,0.863022095795188,1497
9,26,30,23,23,0.335159491985247,1002
9,20,20,31,31,0.580502224119017,4007
9,1,1,12,12,0.818982423557729,3366
9,1,2,12,12,0.818982423557729,2844
9,2,7,10,10,0.522618074013494,856
9,4,4,9,9,0.779097504563216,1003
9,4,6,9,9,0.779097504563216,1328
9,15,15,19,18,0.340035861009579,1025
9,15,14,19,18,0.340035861009579,1051
9,24,24,6,6,0.731207531816678,1322
9,24,21,6,6,0.731207531816678,890
9,21,19,7,7,0.339834271076732,1670
9,22,22,8,8,0.579425851515141,1359
9,24,28,5,6,0.743990244637634,1591
9,21,29,7,7,0.339834271076732,1187
9,27,27,3,3,0.931420114732088,2283
9,31,31,7,7,0.339834271076732,1926
9,33,33,1,1,1,1166
9,7,34,28,25,0.335757133084594,2025
9,18,18,33,33,0.7672147995889,1770
9,23,23,32,32,0.587164718312259,1141
9,18,25,33,33,0.7672147995889,500
9,8,35,26,26,0.739243018994928,3458
9,16,38,30,28,0.763480534348193,1105
9,14,37,29,27,0.801666830155365,1330
9,14,40,29,27,0.801666830155365,2682
9,19,39,27,29,0.760493949726793,1570
9,25,36,25,30,0.505016410562435,1996
9,17,16,24,24,0.59887493356258,1860
9,17,17,24,24,0.59887493356258,1496
9,12,13,14,14,0.648175259849092,1429
9,9,9,13,13,0.865326353266167,2871
9,9,12,13,13,0.865326353266167,1528
9,13,8,17,17,0.43260615096294,280
9,10,10,20,20,0.585386211801845,1442
9,10,11,20,20,0.585386211801845,878
