"P_total","disloc2018","disloc2012","SQ","dsiSQ_E"
730,11,2,1,0.306
1276,11,1,1,0.306
7054,7,7,2,0.136
2817,7,3,2,0.136
753,9,5,5,0.364
1182,6,4,4,0.913
2902,9,6,5,0.364
2181,1,17,17,0.96
754,3,19,19,0.967
7130,15,11,10,0.353
3472,15,10,10,0.353
1834,12,9,9,0.567
1002,17,8,20,0.383
28157,14,12,20,0.348
1589,14,20,20,0.348
3519,4,14,14,1
951,21,15,15,0.926
2002,20,16,16,0.929
2711,18,21,21,1
2426,2,18,18,1
3785,19,13,13,1
