"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
7,18,16,5,24,0.346348996846381,5562
7,3,3,1,16,0.605301590044936,3339
7,20,7,19,23,0.434459717733728,4060
7,11,12,23,11,0.176163958396182,3226
7,17,17,9,18,0.502075558335979,2716
7,20,4,19,23,0.434459717733728,2233
7,23,23,9,7,0.502075558335979,2123
7,15,15,11,6,1,1760
7,2,14,10,9,0.38259255376228,6772
7,11,10,23,11,0.176163958396182,3384
7,24,24,12,19,0.453799063306235,2650
7,9,9,20,20,1,1464
7,12,13,4,12,0.601108478591978,1431
7,6,6,6,8,0.50114612628578,6070
7,21,22,23,10,0.176163958396182,849
7,20,21,19,23,0.434459717733728,2613
7,10,20,6,17,0.50114612628578,4179
7,11,11,23,11,0.176163958396182,2832
7,8,8,22,4,0.561679960789927,2825
7,5,5,24,1,0.829467513259666,4271
7,19,18,12,14,0.453799063306235,2574
7,1,1,15,13,0.29846861972601,11313
7,1,2,15,13,0.29846861972601,1802
7,19,19,2,14,0.338139416375654,879
