"edon","disloc2017","disloc2005","esc1","esc3","dsi_pob","pobtot"
18,1,18,1,1,0.640300639459597,767
18,16,7,17,18,0.877237433592154,835
18,18,14,12,3,1,23216
18,17,14,11,4,1,1053
18,15,8,16,13,0.666161150875204,1166
18,15,8,15,13,0.666161150875204,854
18,13,7,18,17,0.325859071650896,576
18,1,16,2,1,0.640300639459597,1308
18,3,16,3,12,0.261293482470328,2193
18,10,9,13,14,0.533848363294211,2597
18,13,3,10,17,0.325859071650896,2125
18,5,10,14,16,0.834509246088193,1064
18,6,5,8,11,0.230493412554895,1533
18,9,5,9,9,0.337183383991895,4875
18,11,3,7,10,0.471899947430835,1986
18,8,2,4,8,0.926167386521066,2510
18,12,1,6,7,0.56176041817155,404
18,12,3,5,7,0.56176041817155,3698
