"edon","disloc2015","disloc2013","esc1","esc3","dsi_pob","pobtot"
28,3,13,3,3,0.706462100652927,752
28,10,18,10,10,0.666825290516644,2876
28,10,19,10,10,0.666825290516644,6727
28,1,17,1,1,0.647225389081846,1858
28,1,16,1,1,0.647225389081846,928
28,12,4,12,12,0.297280483469605,3496
28,8,20,8,8,0.926067716373366,1701
28,3,14,3,3,0.706462100652927,1086
28,16,10,16,16,0.705056394327469,2053
28,16,9,16,16,0.705056394327469,5234
28,17,11,17,17,0.395388792837128,2216
28,17,12,17,17,0.395388792837128,961
28,11,1,11,11,0.20121437772245,12318
28,13,3,13,13,0.543163019277136,648
28,11,2,11,11,0.20121437772245,3515
28,18,5,18,18,0.371239944769603,3814
28,21,6,21,21,0.820522192491242,136
28,22,7,22,22,0.71073360258863,2959
28,21,8,21,21,0.820522192491242,10023
28,7,21,7,7,0.954895206207141,5542
28,6,22,6,6,0.953080416348511,3063
28,4,15,4,4,0.684412074282118,1560
