"edon","disloc2016","disloc2013","esc1","esc3","dsi_pob","pobtot"
1,11,6,11,11,0.604616384118462,2331
1,11,10,11,11,0.604616384118462,1986
1,12,11,12,12,0.723280850841979,465
1,16,5,16,16,0.0918891316065704,8392
1,7,12,7,7,0.797884517858437,12481
1,16,15,16,16,0.0918891316065704,2771
1,8,13,8,8,0.434282863989764,2727
1,9,16,9,9,0.211402852099334,967
1,9,14,9,9,0.211402852099334,13928
1,10,17,10,10,0.674123475609756,499
1,10,9,10,10,0.674123475609756,959
1,6,18,6,6,0.727957471506965,4705
1,2,2,2,2,1,2367
1,3,8,3,3,0.865245624391723,1568
1,4,1,4,4,0.883703958691911,3725
1,18,7,18,18,1,8231
1,17,4,17,17,1,1962
1,1,3,1,1,1,6799
