"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
22,14,8,14,14,0.38932650403246,1355
22,3,15,3,3,0.835933747264673,1809
22,1,14,1,1,0.794988220841724,3080
22,2,13,2,2,0.338125539257981,1930
22,9,7,9,9,0.177930890259808,4952
22,4,12,4,4,1,3467
22,15,11,15,15,0.346665441554019,2308
22,6,3,6,6,0.429630972420044,4632
22,7,4,7,7,0.453633672337188,2479
22,5,2,5,5,0.508168663451066,1322
22,7,1,7,7,0.453633672337188,1682
22,7,5,7,7,0.453633672337188,2330
22,11,6,11,11,0.266313870759099,1244
22,15,10,15,15,0.346665441554019,2301
22,13,9,13,13,0.814777378367797,1493
