"edon","disloc2015","disloc2013","esc1","esc3","dsi_pob","pobtot"
23,11,7,3,7,0.275406194189136,9704
23,13,3,1,3,0.432302288692499,3202
23,13,5,4,5,0.707384911625917,3811
23,12,4,3,4,0.275406194189136,1031
23,11,6,8,6,0.771346196495897,908
23,9,8,5,8,0.332642463444632,804
23,10,1,6,1,0.345851474638071,5649
23,6,11,12,11,1,2264
23,5,9,9,9,0.940637105078208,8776
23,4,12,10,12,0.828226846917597,3061
23,4,15,15,15,0.497262157769721,3243
23,2,13,14,13,0.44516576678603,1512
23,1,14,13,14,0.511917925524397,3352
23,14,2,2,2,0.347703035274815,11481
23,5,10,11,10,0.966596478849949,1211
