"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
9,5,5,15,15,1,905
9,3,5,16,16,1,4431
9,26,26,23,23,0.949144333851214,1668
9,26,32,21,21,1,1497
9,30,26,22,22,1,1050
9,20,20,31,31,1,4007
9,1,1,12,12,1,3366
9,2,2,10,10,0.947804688088015,838
9,2,7,11,11,1,1235
9,4,4,9,9,0.947448882094401,1003
9,15,15,19,18,0.688626015115242,1025
9,15,15,18,18,0.688626015115242,2308
9,24,24,6,6,0.894128806552183,1322
9,21,21,7,7,0.954471047196512,1154
9,22,19,8,8,1,982
9,29,21,2,2,1,3220
9,24,28,5,6,0.894128806552183,1591
9,27,29,3,3,1,2598
9,31,31,4,4,1,1644
9,33,33,1,1,1,1166
9,7,34,28,25,0.332972958363177,2025
9,18,18,33,33,1,1770
9,23,23,32,32,1,1141
9,8,35,26,26,0.703993825447012,3458
9,8,34,25,26,0.703993825447012,2135
9,16,38,30,28,0.905653901734104,1105
9,14,37,29,27,0.979237745422875,1330
9,19,39,27,29,0.389348067359614,1570
9,17,16,24,24,0.949460763363481,1860
9,12,13,14,14,1,1429
9,9,9,13,13,1,2871
9,13,13,17,17,1,1411
9,10,10,20,20,0.772699666451229,1442
