"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
11,18,13,4,1,1,1916
11,22,22,8,2,0.873948749090858,4518
11,9,9,6,3,1,6511
11,2,2,10,4,1,1049
11,16,16,21,22,0.921577092197319,21909
11,15,15,22,21,0.801328623909269,1079
11,10,18,7,5,1,1590
11,17,17,2,6,1,3003
11,19,21,5,7,1,1725
11,1,1,3,8,0.951901932912976,2342
11,1,9,9,8,0.951901932912976,7136
11,8,8,1,9,0.9276240046052,235
11,11,11,13,13,1,5611
11,12,12,14,14,1,12453
11,3,4,17,16,0.954507742797706,5543
11,4,4,16,20,0.985243868189478,1833
11,3,4,19,16,0.954507742797706,1410
11,21,7,15,15,1,1398
11,5,5,18,17,0.823421997687017,868
11,5,5,20,17,0.823421997687017,5176
11,20,20,11,10,1,2667
11,14,14,12,12,1,2742
