"edon","disloc2018","disloc1996","esc1","esc3","dsi_pob","pobtot"
15,14,13,10,4,1,1958
15,39,39,17,16,0.906253847732403,2688
15,9,8,9,1,0.365951337917356,1222
15,45,45,5,5,0.314573930406206,2225
15,10,45,8,10,0.418319907743925,665
15,7,5,6,9,0.315107427158204,2665
15,9,9,1,1,0.365951337917356,2162
15,28,28,12,11,0.838480167941918,1664
15,20,20,36,33,1,2255
15,23,23,15,15,0.77000992126523,3793
15,29,16,42,38,1,1678
15,16,16,43,40,1,3665
15,13,13,7,3,0.463161041012831,6479
15,4,6,4,2,0.236087459361995,3643
15,38,38,35,32,0.712215787572902,4059
15,12,36,37,31,0.421118318313262,6236
15,43,43,38,37,1,2229
15,26,43,39,36,1,1572
15,27,27,14,14,1,2791
15,1,27,13,13,0.930310115346504,11196
15,5,40,16,18,0.194652106957861,1952
15,3,31,19,17,0.558362503320951,4673
15,3,31,18,17,0.558362503320951,4288
15,41,31,20,21,1,2062
15,21,21,25,28,1,2378
15,37,21,26,27,1,3515
15,22,21,28,24,1,3195
15,42,22,27,23,1,2077
15,8,22,24,26,1,14208
15,6,33,23,25,1,3882
15,17,44,3,7,0.577399296077979,2967
15,40,40,11,12,0.897865581900394,12699
15,12,20,34,31,0.421118318313262,2986
15,4,4,2,2,0.236087459361995,3157
15,35,35,31,6,0.48798968748035,3156
15,32,30,44,41,1,1832
15,30,29,41,39,1,743
15,25,25,21,20,1,4958
15,24,24,22,22,1,1647
15,44,44,45,42,1,5767
15,34,3,33,43,0.313070555620632,3830
15,33,33,29,29,1,1677
15,18,18,40,35,1,1688
15,34,2,32,43,0.313070555620632,2997
15,11,38,30,30,1,1781
