"edon","disloc2017","disloc2013","esc1","esc3","dsi_pob","pobtot"
25,3,3,19,3,0.402935226076802,19421
25,3,4,19,3,0.402935226076802,1123
25,2,8,1,2,0.633690162627166,1151
25,23,11,16,23,0.431108169440242,707
25,11,21,5,11,0.46123758460051,644
25,19,16,15,19,0.232806759867417,844
25,18,24,13,18,0.14136342959222,1241
25,20,12,13,20,0.14136342959222,328
25,17,13,12,17,0.360706222589028,332
25,17,14,11,17,0.24090829279377,597
25,1,1,2,1,0.72364541098415,1897
25,19,17,10,19,0.283983173559659,1597
25,10,23,3,10,0.480767930124929,128
25,1,2,18,1,1,462
25,6,6,23,6,0.571937541729553,3065
25,4,7,23,4,0.571937541729553,452
25,11,20,4,11,0.325365704060335,268
25,14,19,6,14,0.327327975860957,3658
25,23,10,16,23,0.431108169440242,389
25,10,22,3,10,0.480767930124929,1366
25,2,9,1,2,0.633690162627166,2445
25,19,18,10,19,0.283983173559659,1687
25,5,5,2,5,0.72364541098415,902
25,24,15,17,24,0.774866788361626,139
