"","SECCION","munn","edo","edon","disloc2013","disloc2016","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"58",70,5,"tla",29,17,11,474,757,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"59",71,5,"tla",29,17,11,654,1152,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"60",72,5,"tla",29,17,11,563,967,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"61",73,5,"tla",29,17,11,188,330,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"62",74,5,"tla",29,17,11,871,1440,29,"TLAXCALA",1,5,"ALTZAYANCA","MIXTO(A)"
"63",75,5,"tla",29,17,11,324,567,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"64",76,5,"tla",29,17,11,88,142,29,"TLAXCALA",1,5,"ALTZAYANCA","RURAL"
"65",77,5,"tla",29,17,11,1156,1779,29,"TLAXCALA",1,5,"ALTZAYANCA","URBANO(A)"
"66",100,7,"tla",29,19,11,2375,4229,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","URBANO(A)"
"67",101,7,"tla",29,19,11,1605,2592,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","URBANO(A)"
"68",102,7,"tla",29,19,11,1656,2738,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","URBANO(A)"
"69",103,7,"tla",29,19,11,1018,1764,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","MIXTO(A)"
"70",104,7,"tla",29,19,11,1710,3113,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","URBANO(A)"
"71",105,7,"tla",29,19,11,309,549,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","RURAL"
"72",106,7,"tla",29,19,11,170,286,29,"TLAXCALA",1,7,"EL CARMEN TEQUEXQUITLA","RURAL"
"73",107,8,"tla",29,19,11,2059,3346,29,"TLAXCALA",1,8,"CUAPIAXTLA","MIXTO(A)"
"74",108,8,"tla",29,19,11,1282,2121,29,"TLAXCALA",1,8,"CUAPIAXTLA","URBANO(A)"
"75",109,8,"tla",29,19,11,1803,3051,29,"TLAXCALA",1,8,"CUAPIAXTLA","URBANO(A)"
"76",110,8,"tla",29,19,11,1077,1815,29,"TLAXCALA",1,8,"CUAPIAXTLA","MIXTO(A)"
"77",111,8,"tla",29,19,11,203,324,29,"TLAXCALA",1,8,"CUAPIAXTLA","RURAL"
"78",112,8,"tla",29,19,11,129,216,29,"TLAXCALA",1,8,"CUAPIAXTLA","RURAL"
"79",113,8,"tla",29,19,11,301,476,29,"TLAXCALA",1,8,"CUAPIAXTLA","RURAL"
"80",114,8,"tla",29,19,11,691,1129,29,"TLAXCALA",1,8,"CUAPIAXTLA","MIXTO(A)"
"81",115,8,"tla",29,19,11,358,653,29,"TLAXCALA",1,8,"CUAPIAXTLA","RURAL"
"82",116,8,"tla",29,19,11,302,592,29,"TLAXCALA",1,8,"CUAPIAXTLA","RURAL"
"83",117,9,"tla",29,16,3,1016,1562,29,"TLAXCALA",1,9,"CUAXOMULCO","URBANO(A)"
"84",118,9,"tla",29,16,3,818,1265,29,"TLAXCALA",1,9,"CUAXOMULCO","URBANO(A)"
"85",119,9,"tla",29,16,3,456,739,29,"TLAXCALA",1,9,"CUAXOMULCO","RURAL"
"86",120,9,"tla",29,16,3,175,295,29,"TLAXCALA",1,9,"CUAXOMULCO","RURAL"
"87",121,9,"tla",29,16,3,867,1450,29,"TLAXCALA",1,9,"CUAXOMULCO","RURAL"
"88",161,11,"tla",29,12,5,1300,2085,29,"TLAXCALA",1,11,"MUÑOZ DE DOMINGO ARENAS","MIXTO(A)"
"89",162,11,"tla",29,12,5,773,1269,29,"TLAXCALA",1,11,"MUÑOZ DE DOMINGO ARENAS","MIXTO(A)"
"90",163,11,"tla",29,12,5,411,680,29,"TLAXCALA",1,11,"MUÑOZ DE DOMINGO ARENAS","RURAL"
"91",164,11,"tla",29,12,5,325,558,29,"TLAXCALA",1,11,"MUÑOZ DE DOMINGO ARENAS","RURAL"
"92",178,13,"tla",29,18,10,3050,4978,29,"TLAXCALA",1,13,"HUAMANTLA","MIXTO(A)"
"93",179,13,"tla",29,18,10,3175,5322,29,"TLAXCALA",1,13,"HUAMANTLA","URBANO(A)"
"94",180,13,"tla",29,19,11,2938,4920,29,"TLAXCALA",1,13,"HUAMANTLA","MIXTO(A)"
"95",181,13,"tla",29,18,10,1744,2581,29,"TLAXCALA",1,13,"HUAMANTLA","URBANO(A)"
