"","SECCION","munn","edo","edon","disloc1996","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"44",70,3,"mex",15,13,14,1473,2259,15,"MEXICO",1,3,"ACULCO","RURAL"
"45",71,3,"mex",15,13,14,846,1339,15,"MEXICO",1,3,"ACULCO","RURAL"
"46",72,3,"mex",15,13,14,2633,4487,15,"MEXICO",1,3,"ACULCO","RURAL"
"47",73,3,"mex",15,13,14,846,1425,15,"MEXICO",1,3,"ACULCO","RURAL"
"48",74,3,"mex",15,13,14,880,1529,15,"MEXICO",1,3,"ACULCO","RURAL"
"49",75,3,"mex",15,13,14,1551,2523,15,"MEXICO",1,3,"ACULCO","RURAL"
"50",76,3,"mex",15,13,14,681,1209,15,"MEXICO",1,3,"ACULCO","RURAL"
"51",77,3,"mex",15,13,14,1629,2784,15,"MEXICO",1,3,"ACULCO","RURAL"
"52",78,3,"mex",15,13,14,403,689,15,"MEXICO",1,3,"ACULCO","RURAL"
"53",79,3,"mex",15,13,14,249,442,15,"MEXICO",1,3,"ACULCO","RURAL"
"54",80,3,"mex",15,13,14,77,129,15,"MEXICO",1,3,"ACULCO","RURAL"
"55",81,3,"mex",15,13,14,678,1087,15,"MEXICO",1,3,"ACULCO","RURAL"
"56",1081,27,"mex",15,14,14,1575,2660,15,"MEXICO",1,27,"CHAPA DE MOTA","MIXTO(A)"
"57",1082,27,"mex",15,14,14,1364,2279,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"58",1083,27,"mex",15,14,14,658,1153,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"59",1084,27,"mex",15,14,14,1591,2695,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"60",1085,27,"mex",15,14,14,2986,5014,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"61",1086,27,"mex",15,14,14,569,978,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"62",1087,27,"mex",15,14,14,2162,3690,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"63",1088,27,"mex",15,14,14,817,1427,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"64",1089,27,"mex",15,14,14,1107,1849,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"65",1090,27,"mex",15,14,14,1302,2102,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"66",1091,27,"mex",15,14,14,561,964,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"67",1092,27,"mex",15,14,14,689,1111,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"68",1093,27,"mex",15,14,14,603,1047,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"69",1094,27,"mex",15,14,14,372,581,15,"MEXICO",1,27,"CHAPA DE MOTA","RURAL"
"70",2260,46,"mex",15,14,14,2082,3193,15,"MEXICO",1,46,"JILOTEPEC","URBANO(A)"
"71",2261,46,"mex",15,14,14,896,1266,15,"MEXICO",1,46,"JILOTEPEC","URBANO(A)"
"72",2262,46,"mex",15,14,14,1183,1820,15,"MEXICO",1,46,"JILOTEPEC","MIXTO(A)"
"73",2263,46,"mex",15,14,14,1328,1831,15,"MEXICO",1,46,"JILOTEPEC","MIXTO(A)"
"74",2264,46,"mex",15,14,14,1077,1615,15,"MEXICO",1,46,"JILOTEPEC","URBANO(A)"
"75",2265,46,"mex",15,14,14,1395,2123,15,"MEXICO",1,46,"JILOTEPEC","URBANO(A)"
"76",2266,46,"mex",15,14,14,154,253,15,"MEXICO",1,46,"JILOTEPEC","RURAL"
"77",2267,46,"mex",15,14,14,1448,2358,15,"MEXICO",1,46,"JILOTEPEC","RURAL"
"78",2268,46,"mex",15,14,14,1258,1966,15,"MEXICO",1,46,"JILOTEPEC","URBANO(A)"
"79",2269,46,"mex",15,14,14,655,1071,15,"MEXICO",1,46,"JILOTEPEC","RURAL"
"80",2270,46,"mex",15,14,14,86,129,15,"MEXICO",1,46,"JILOTEPEC","RURAL"
