"","SECCION","munn","edo","edon","disloc2015","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"57",390,15,"san",24,1,1,587,887,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"58",391,15,"san",24,1,1,762,1106,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"59",392,15,"san",24,1,1,2374,3832,24,"SAN LUIS POTOSI",1,15,"CHARCAS","MIXTO(A)"
"60",393,15,"san",24,1,1,188,251,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"61",394,15,"san",24,1,1,541,904,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"62",395,15,"san",24,1,1,178,276,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"63",396,15,"san",24,1,1,1064,1712,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"64",397,15,"san",24,1,1,248,419,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"65",398,15,"san",24,1,1,262,420,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"66",399,15,"san",24,1,1,150,233,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"67",400,15,"san",24,1,1,119,182,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"68",401,15,"san",24,1,1,538,796,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"69",402,15,"san",24,1,1,869,1318,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"70",403,15,"san",24,1,1,628,943,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"71",404,15,"san",24,1,1,397,664,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"72",490,20,"san",24,1,1,1172,1862,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"73",491,20,"san",24,1,1,822,1174,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"74",492,20,"san",24,1,1,101,159,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"75",493,20,"san",24,1,1,1358,2192,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"76",494,20,"san",24,1,1,978,1521,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"77",495,20,"san",24,1,1,964,1415,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"78",496,20,"san",24,1,1,2541,4104,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"79",497,20,"san",24,1,1,1262,2172,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"80",498,20,"san",24,1,1,1253,1914,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"81",499,20,"san",24,1,1,491,726,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"82",500,20,"san",24,1,1,1523,2785,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"83",501,20,"san",24,1,1,1512,2259,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"84",502,20,"san",24,1,1,2198,3732,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"85",503,20,"san",24,1,1,1484,2562,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"86",504,20,"san",24,1,1,1435,2087,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"87",505,20,"san",24,1,1,1141,1550,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"88",506,20,"san",24,1,1,1030,1446,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"89",507,20,"san",24,1,1,1077,1522,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"90",508,20,"san",24,1,1,1121,1653,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"91",509,20,"san",24,1,1,1687,2687,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"92",510,20,"san",24,1,1,1311,2205,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"93",511,20,"san",24,1,1,896,1264,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"94",512,20,"san",24,1,1,682,951,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"95",513,20,"san",24,1,1,2548,4003,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"96",514,20,"san",24,1,1,1099,1986,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"97",515,20,"san",24,1,1,1716,2990,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"98",516,20,"san",24,1,1,710,935,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"99",517,20,"san",24,1,1,924,1308,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"100",518,20,"san",24,1,1,2462,3993,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"101",519,20,"san",24,1,1,759,1079,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"102",520,20,"san",24,1,1,1051,1463,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"103",521,20,"san",24,1,1,1236,1939,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"104",522,20,"san",24,1,1,470,744,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"105",523,20,"san",24,1,1,646,1004,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"106",524,20,"san",24,1,1,1005,1510,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"107",525,20,"san",24,1,1,1016,1528,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"108",526,20,"san",24,1,1,1206,1944,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"109",527,20,"san",24,1,1,1729,2895,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","MIXTO(A)"
"110",528,20,"san",24,1,1,319,476,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"111",529,20,"san",24,1,1,364,541,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"112",530,20,"san",24,1,1,217,340,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"113",531,20,"san",24,1,1,1219,1764,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"114",532,20,"san",24,1,1,713,1099,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"115",533,20,"san",24,1,1,628,995,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","MIXTO(A)"
"116",534,20,"san",24,1,1,156,233,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"117",535,20,"san",24,1,1,102,157,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"118",536,20,"san",24,1,1,1150,2049,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"119",537,20,"san",24,1,1,94,135,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"120",538,20,"san",24,1,1,222,394,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"121",539,20,"san",24,1,1,606,969,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","MIXTO(A)"
"122",540,20,"san",24,1,1,501,809,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"123",541,20,"san",24,1,1,613,1021,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"124",542,20,"san",24,1,1,124,210,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"125",543,20,"san",24,1,1,157,248,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"126",544,20,"san",24,1,1,395,603,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"127",545,20,"san",24,1,1,731,1176,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"128",546,20,"san",24,1,1,275,426,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"129",547,20,"san",24,1,1,352,563,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"130",548,20,"san",24,1,1,220,335,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"131",549,20,"san",24,1,1,475,751,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"132",550,20,"san",24,1,1,259,371,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"133",551,20,"san",24,1,1,131,190,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"134",552,20,"san",24,1,1,541,884,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"135",553,20,"san",24,1,1,572,873,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"136",554,20,"san",24,1,1,388,622,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","RURAL"
"137",555,21,"san",24,4,4,1223,2005,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","MIXTO(A)"
"138",556,21,"san",24,4,4,1256,2214,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"139",557,21,"san",24,4,4,635,1265,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"140",558,21,"san",24,4,4,607,1016,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"141",559,21,"san",24,4,4,1394,2181,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"142",560,21,"san",24,4,4,858,1415,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"143",561,21,"san",24,4,4,915,1535,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"144",562,21,"san",24,4,4,744,1173,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"145",563,21,"san",24,4,4,229,378,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"146",564,21,"san",24,4,4,259,438,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"147",565,21,"san",24,4,4,1376,2520,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"148",566,21,"san",24,4,4,727,1276,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"149",567,21,"san",24,4,4,349,615,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"150",568,21,"san",24,4,4,584,977,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"151",569,21,"san",24,4,4,283,498,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"152",570,21,"san",24,4,4,286,512,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"153",571,21,"san",24,4,4,483,812,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"154",572,21,"san",24,4,4,1517,2560,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"155",573,21,"san",24,4,4,1547,2496,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"156",574,21,"san",24,4,4,566,924,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"157",575,21,"san",24,4,4,307,500,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
"158",576,21,"san",24,4,4,441,752,24,"SAN LUIS POTOSI",1,21,"MEXQUITIC DE CARMONA","RURAL"
