"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2012","escenario1.y","escenario3jge","dsi_E1_E3_pob","pob_total"
"1",17,1,1,0.434,17,9,9,1,1,0.484600265442793,2107
"2",17,4,1,0.434,17,9,9,1,1,0.484600265442793,2107
"3",17,11,11,0.788,17,4,13,11,11,0.823723673952943,2745
"4",17,11,11,0.788,17,4,13,11,11,0.823723673952943,2745
"5",17,2,2,0.434,17,11,18,2,2,0.424086280335869,3542
"6",17,1,2,0.434,17,11,18,2,2,0.424086280335869,3542
"7",17,3,3,0.742,17,10,16,3,3,0.748962141762,1941
"8",17,3,3,0.742,17,10,16,3,3,0.748962141762,1941
"9",17,1,1,0.434,17,9,8,4,1,0.484600265442793,1071
"10",17,4,1,0.434,17,9,8,4,1,0.484600265442793,1071
"11",17,12,12,0.94,17,4,14,12,11,0.963120446003673,5717
"12",17,12,12,0.94,17,4,14,12,11,0.963120446003673,5717
"13",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047
"14",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047
"15",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047
"16",17,8,8,0.936,17,1,1,8,8,0.937625624903365,3264
"17",17,9,10,0.844,17,3,2,9,10,0.887508068710949,2520
"18",NA,NA,NA,NA,17,5,4,NA,NA,0,5979
"19",17,5,4,1,17,8,5,5,4,1,5445
"20",17,6,6,1,17,6,6,6,6,1,1865
"21",17,6,6,1,17,6,6,6,6,1,1865
"22",NA,NA,7,NA,17,12,6,7,7,1,6275
