"","edon.x","disloc2012.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2012.y","escenario3","escenario3jge","dsi_SQ_E1_pob","pob_total"
"1",17,9,1,0.467,17,9,9,1,1,0.522361632425693,2107
"2",17,11,1,0.467,17,9,9,1,1,0.522361632425693,2107
"3",17,13,11,0.589,17,4,13,11,11,0.618307926213958,2745
"4",17,17,11,0.589,17,4,13,11,11,0.618307926213958,2745
"5",17,18,2,0.487,17,11,18,2,2,0.517925557851719,3542
"6",17,16,3,0.568,17,10,16,3,3,0.573835786512419,1941
"7",17,10,3,0.568,17,10,16,3,3,0.573835786512419,1941
"8",17,8,4,0.472,17,9,8,1,1,0.477015949614448,1071
"9",17,14,12,0.482,17,4,14,12,11,0.598694974058631,5717
"10",17,15,12,0.482,17,4,14,12,11,0.598694974058631,5717
"11",17,14,12,0.482,17,7,15,12,12,0.598694974058631,1380
"12",17,15,12,0.482,17,7,15,12,12,0.598694974058631,1380
"13",17,1,10,0.342,17,2,1,9,9,0.335320290831181,4047
"14",17,3,10,0.342,17,2,1,9,9,0.335320290831181,4047
"15",17,4,10,0.342,17,2,1,9,9,0.335320290831181,4047
"16",17,2,8,0.33,17,1,2,8,8,0.403471711976488,4773
"17",17,1,10,0.342,17,2,3,9,9,0.335320290831181,1242
"18",17,3,10,0.342,17,2,3,9,9,0.335320290831181,1242
"19",17,4,10,0.342,17,2,3,9,9,0.335320290831181,1242
"20",17,1,10,0.342,17,2,4,9,9,0.335320290831181,936
"21",17,3,10,0.342,17,2,4,9,9,0.335320290831181,936
"22",17,4,10,0.342,17,2,4,9,9,0.335320290831181,936
"23",17,5,5,0.28,17,8,5,4,4,0.33052259872293,5445
"24",17,6,6,0.483,17,6,6,6,6,0.343587586572479,1865
"25",17,7,6,0.483,17,6,6,6,6,0.343587586572479,1865
"26",17,6,6,0.483,17,6,7,6,6,0.343587586572479,3503
"27",17,7,6,0.483,17,6,7,6,6,0.343587586572479,3503
"28",17,9,1,0.467,17,11,11,2,2,0.522361632425693,2087
"29",17,11,1,0.467,17,11,11,2,2,0.522361632425693,2087
"30",17,13,11,0.589,17,4,17,11,11,0.618307926213958,2583
"31",17,17,11,0.589,17,4,17,11,11,0.618307926213958,2583
"32",17,12,9,0.171,17,3,12,10,10,0.129603635218428,2222
"33",17,16,3,0.568,17,10,10,3,3,0.573835786512419,2263
"34",17,10,3,0.568,17,10,10,3,3,0.573835786512419,2263
