"","edon.x","disloc2016.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2016.y","disloc2013","escenario1","dsi_SQ_E3_pob","pob_total"
"1",8,1,1,0.531,8,11,1,1,0.634300499603223,732
"2",8,10,1,0.531,8,11,1,1,0.634300499603223,732
"3",8,1,1,0.531,8,11,10,1,0.634300499603223,3914
"4",8,10,1,0.531,8,11,10,1,0.634300499603223,3914
"5",8,22,2,0.885,8,20,22,3,0.94136565712698,1133
"6",8,12,2,0.885,8,20,22,3,0.94136565712698,1133
"7",8,11,4,0.415,8,13,11,5,0.482348858050112,637
"8",8,14,4,0.415,8,13,11,5,0.482348858050112,637
"9",8,21,6,0.757,8,22,21,6,0.848409972428618,1583
"10",8,11,4,0.415,8,13,14,5,0.482348858050112,241
"11",8,14,4,0.415,8,13,14,5,0.482348858050112,241
"12",8,22,2,0.885,8,20,12,3,0.94136565712698,458
"13",8,12,2,0.885,8,20,12,3,0.94136565712698,458
"14",8,13,7,0.921,8,14,13,7,0.952746802380705,1489
"15",8,19,10,0.271,8,18,19,10,0.247694106916944,924
"16",8,16,10,0.271,8,18,19,10,0.247694106916944,924
"17",8,18,11,0.424,8,16,18,11,0.358304048341274,791
"18",8,19,10,0.271,8,18,16,10,0.247694106916944,4027
"19",8,16,10,0.271,8,18,16,10,0.247694106916944,4027
"20",8,15,9,0.52,8,12,15,9,0.633377551410338,19342
"21",8,17,9,0.52,8,12,15,9,0.633377551410338,19342
"22",8,15,9,0.52,8,12,17,9,0.633377551410338,4564
"23",8,17,9,0.52,8,12,17,9,0.633377551410338,4564
"24",8,20,8,0.866,8,19,20,8,0.891888055946221,943
"25",8,2,16,0.264,8,2,2,16,0.374437797669014,7094
"26",8,6,16,0.264,8,2,2,16,0.374437797669014,7094
"27",8,3,21,0.399,8,4,3,22,0.32632592642433,305
"28",8,5,21,0.399,8,4,3,22,0.32632592642433,305
"29",8,2,16,0.264,8,2,6,16,0.374437797669014,7702
"30",8,6,16,0.264,8,2,6,16,0.374437797669014,7702
"31",8,4,20,0.161,8,5,4,19,0.245086461576388,9966
"32",8,9,20,0.161,8,5,4,19,0.245086461576388,9966
"33",8,7,20,0.161,8,5,4,19,0.245086461576388,9966
"34",8,4,20,0.161,8,5,9,19,0.245086461576388,618
"35",8,9,20,0.161,8,5,9,19,0.245086461576388,618
"36",8,7,20,0.161,8,5,9,19,0.245086461576388,618
"37",8,4,20,0.161,8,5,7,19,0.245086461576388,916
"38",8,9,20,0.161,8,5,7,19,0.245086461576388,916
"39",8,7,20,0.161,8,5,7,19,0.245086461576388,916
"40",8,3,21,0.399,8,4,5,22,0.32632592642433,456
"41",8,5,21,0.399,8,4,5,22,0.32632592642433,456
"42",8,8,17,0.322,8,9,8,18,0.205414042462639,969
