"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2015","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",23,3,7,0.811,23,11,7,3,0.771346196495897,9704
"2",23,3,7,0.811,23,14,7,8,0.771346196495897,2764
"3",23,1,3,0.296,23,13,3,1,0.24636968316547,3202
"4",23,1,3,0.296,23,13,3,4,0.24636968316547,5245
"5",23,3,4,0.375,23,9,4,5,0.332642463444632,2212
"6",23,8,6,0.789,23,8,6,7,0.822379764295422,553
"7",23,4,5,0.733,23,10,5,6,0.707384911625917,2266
"8",23,12,11,1,23,6,11,12,1,2264
"9",23,9,9,0.781,23,5,9,9,0.940637105078208,8776
"10",23,9,9,0.781,23,5,9,10,0.940637105078208,111
"11",23,15,15,0.441,23,4,15,15,0.497262157769721,3243
"12",23,14,13,0.389,23,2,13,14,0.44516576678603,1512
"13",23,14,13,0.389,23,2,13,13,0.44516576678603,1662
"14",23,2,2,0.3,23,14,2,2,0.347703035274815,11481
"15",23,11,10,0.873,23,5,10,11,0.966596478849949,1211
