"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2017","disloc2011","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",5,6,5,0.484,5,5,13,6,0.578292979340002,760
"2",5,6,5,0.484,5,5,13,6,0.578292979340002,760
"3",5,6,5,0.484,5,5,13,6,0.578292979340002,760
"4",5,5,3,1,5,1,15,5,1,3083
"5",5,7,11,0.81,5,12,5,7,0.857496874565912,7004
"6",NA,NA,2,NA,5,6,12,2,0.277785192051738,2839
"7",5,3,8,0.684,5,7,10,3,0.790421963965369,2483
"8",5,3,8,0.684,5,7,10,3,0.790421963965369,2483
"9",NA,NA,2,NA,5,6,11,1,0.277785192051738,5509
"10",5,6,5,0.484,5,5,12,4,0.578292979340002,1429
"11",5,6,5,0.484,5,5,12,4,0.578292979340002,1429
"12",5,6,5,0.484,5,5,12,4,0.578292979340002,1429
"13",5,8,16,0.784,5,2,16,8,0.835004898325909,4421
"14",5,16,13,0.495,5,14,4,16,0.392650272806468,2708
"15",5,16,13,0.495,5,14,4,16,0.392650272806468,2708
"16",NA,NA,12,NA,5,13,4,13,0.512633915322463,1456
"17",5,16,13,0.495,5,14,1,14,0.392650272806468,2321
"18",5,16,13,0.495,5,14,1,14,0.392650272806468,2321
"19",NA,NA,15,NA,5,16,3,15,0.599318082316574,2822
"20",5,12,7,1,5,8,9,12,1,4860
"21",5,11,10,1,5,9,9,11,1,1195
"22",5,9,9,1,5,11,9,9,1,1338
"23",NA,NA,6,NA,5,10,8,10,1,633
