"","edon.x","disloc2013.x","escenario3cg","dsi_SQ_E3_sec","edon.y","disloc2016","disloc2013.y","escenario1","escenario3jge","dsi_SQ_E3_pob","pob_total"
"1",13,18,9,0.479,13,1,18,8,1,0.442706274669176,1422
"2",13,1,9,0.479,13,1,18,8,1,0.442706274669176,1422
"3",13,10,4,0.336,13,10,10,8,10,0.303233084403132,2833
"4",13,11,4,0.336,13,10,10,8,10,0.303233084403132,2833
"5",13,3,4,0.336,13,10,10,8,10,0.303233084403132,2833
"6",13,14,1,0.216,13,2,14,2,2,0.236724351717074,5385
"7",13,5,6,0.497,13,3,5,2,3,0.563656850581116,2062
"8",13,16,18,0.43,13,4,16,6,4,0.400293881912904,2564
"9",13,17,18,0.43,13,4,16,6,4,0.400293881912904,2564
"10",13,10,4,0.336,13,10,11,5,10,0.303233084403132,2261
"11",13,11,4,0.336,13,10,11,5,10,0.303233084403132,2261
"12",13,3,4,0.336,13,10,11,5,10,0.303233084403132,2261
"13",13,13,14,0.349,13,7,13,16,7,0.327451216770549,2734
"14",13,15,7,0.348,13,8,15,1,8,0.324161539750557,2766
"15",13,9,7,0.348,13,8,15,1,8,0.324161539750557,2766
"16",13,8,7,0.348,13,8,15,1,8,0.324161539750557,2766
"17",13,10,4,0.336,13,10,3,5,10,0.303233084403132,4495
"18",13,11,4,0.336,13,10,3,5,10,0.303233084403132,4495
"19",13,3,4,0.336,13,10,3,5,10,0.303233084403132,4495
"20",13,6,5,0.726,13,4,6,6,4,0.650594295491363,1342
"21",13,4,5,0.726,13,4,6,6,4,0.650594295491363,1342
"22",13,16,18,0.43,13,9,17,11,9,0.400293881912904,2668
"23",13,17,18,0.43,13,9,17,11,9,0.400293881912904,2668
"24",13,15,7,0.348,13,8,9,1,8,0.324161539750557,623
"25",13,9,7,0.348,13,8,9,1,8,0.324161539750557,623
"26",13,8,7,0.348,13,8,9,1,8,0.324161539750557,623
"27",13,2,13,0.604,13,12,2,7,12,0.463856353164019,1723
"28",13,18,9,0.479,13,1,1,7,1,0.442706274669176,1376
"29",13,1,9,0.479,13,1,1,7,1,0.442706274669176,1376
"30",13,7,16,0.596,13,18,7,18,18,0.742729497641092,920
"31",13,6,5,0.726,13,4,4,6,4,0.650594295491363,2114
"32",13,4,5,0.726,13,4,4,6,4,0.650594295491363,2114
"33",13,15,7,0.348,13,8,8,1,8,0.324161539750557,1343
"34",13,9,7,0.348,13,8,8,1,8,0.324161539750557,1343
"35",13,8,7,0.348,13,8,8,1,8,0.324161539750557,1343
"36",13,12,17,0.788,13,13,12,10,13,0.754052960368244,1715
