"","SECCION","munn.x","edon.x","disloc2017.x","disloc2015.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",34,3,26,3,3,2,2,2,1190,0.718,0.743117354062897,0.0251173540628971,0,0,0
"2",35,3,26,3,3,2,2,2,2630,0.718,0.743117354062897,0.0251173540628971,0,0,0
"3",37,3,26,3,3,2,2,2,555,0.718,0.743117354062897,0.0251173540628971,1,0,0
"4",1362,3,26,3,3,2,2,2,2379,0.718,0.743117354062897,0.0251173540628971,0,0,1
"5",1363,3,26,3,3,2,2,2,558,0.718,0.743117354062897,0.0251173540628971,0,0,0
"6",1364,3,26,3,3,2,2,2,642,0.718,0.743117354062897,0.0251173540628971,0,0,0
"7",1365,3,26,3,3,2,2,2,1042,0.718,0.743117354062897,0.0251173540628971,0,0,0
"8",46,6,26,3,3,2,2,2,636,0.718,0.743117354062897,0.0251173540628971,0,0,1
"9",66,14,26,3,3,3,3,3,1382,0.265,0.207453574154159,0.057546425845841,0,0,1
"10",67,14,26,3,3,3,3,3,1353,0.265,0.207453574154159,0.057546425845841,0,0,0
"11",68,14,26,3,3,3,3,3,1440,0.265,0.207453574154159,0.057546425845841,0,0,0
"12",69,14,26,3,3,3,3,3,1098,0.265,0.207453574154159,0.057546425845841,0,0,0
"13",232,31,26,3,3,2,2,2,460,0.718,0.743117354062897,0.0251173540628971,0,0,1
"14",252,36,26,3,3,3,3,3,479,0.265,0.207453574154159,0.057546425845841,0,0,0
"15",253,36,26,3,3,3,3,3,1225,0.265,0.207453574154159,0.057546425845841,0,0,0
"16",254,36,26,3,3,3,3,3,1644,0.265,0.207453574154159,0.057546425845841,0,0,0
"17",255,36,26,3,3,3,3,3,5367,0.265,0.207453574154159,0.057546425845841,0,0,1
"18",256,36,26,3,3,3,3,3,880,0.265,0.207453574154159,0.057546425845841,0,0,0
"19",257,36,26,3,3,3,3,3,1369,0.265,0.207453574154159,0.057546425845841,0,0,0
"20",258,36,26,3,3,3,3,3,225,0.265,0.207453574154159,0.057546425845841,1,0,0
"21",259,36,26,3,3,3,3,3,598,0.265,0.207453574154159,0.057546425845841,1,0,0
"22",260,36,26,3,3,3,3,3,865,0.265,0.207453574154159,0.057546425845841,1,0,0
"23",261,36,26,3,3,3,3,3,1049,0.265,0.207453574154159,0.057546425845841,1,0,0
"24",262,36,26,3,3,3,3,3,1322,0.265,0.207453574154159,0.057546425845841,1,0,0
"25",263,36,26,3,3,3,3,3,1028,0.265,0.207453574154159,0.057546425845841,0,0,0
"26",265,38,26,3,3,2,2,2,1366,0.718,0.743117354062897,0.0251173540628971,0,0,1
"27",266,38,26,3,3,2,2,2,1344,0.718,0.743117354062897,0.0251173540628971,1,0,0
"28",278,42,26,3,3,2,2,2,1310,0.718,0.743117354062897,0.0251173540628971,0,0,1
"29",279,42,26,3,3,2,2,2,450,0.718,0.743117354062897,0.0251173540628971,1,0,0
"30",280,42,26,3,3,2,2,2,75,0.718,0.743117354062897,0.0251173540628971,1,0,0
"31",281,43,26,3,3,2,2,2,413,0.718,0.743117354062897,0.0251173540628971,0,0,1
"32",282,43,26,3,3,2,2,2,42,0.718,0.743117354062897,0.0251173540628971,1,0,0
"33",283,43,26,3,3,2,2,2,100,0.718,0.743117354062897,0.0251173540628971,1,0,0
"34",284,43,26,3,3,2,2,2,219,0.718,0.743117354062897,0.0251173540628971,1,0,0
"35",285,43,26,3,3,2,2,2,836,0.718,0.743117354062897,0.0251173540628971,1,0,0
"36",292,46,26,3,3,2,2,2,4061,0.718,0.743117354062897,0.0251173540628971,0,0,0
"37",293,46,26,3,3,2,2,2,1495,0.718,0.743117354062897,0.0251173540628971,0,0,0
"38",294,46,26,3,3,2,2,2,3736,0.718,0.743117354062897,0.0251173540628971,0,0,0
"39",295,46,26,3,3,2,2,2,5389,0.718,0.743117354062897,0.0251173540628971,0,0,0
"40",296,46,26,3,3,2,2,2,3644,0.718,0.743117354062897,0.0251173540628971,0,0,0
"41",297,46,26,3,3,2,2,2,7574,0.718,0.743117354062897,0.0251173540628971,0,0,0
"42",298,46,26,3,3,2,2,2,3485,0.718,0.743117354062897,0.0251173540628971,0,0,0
"43",299,46,26,3,3,2,2,2,1747,0.718,0.743117354062897,0.0251173540628971,0,0,0
"44",300,46,26,3,3,2,2,2,1178,0.718,0.743117354062897,0.0251173540628971,0,0,0
"45",301,46,26,3,3,2,2,2,997,0.718,0.743117354062897,0.0251173540628971,0,0,0
"46",302,46,26,3,3,2,2,2,1114,0.718,0.743117354062897,0.0251173540628971,0,0,0
"47",303,46,26,3,3,2,2,2,1704,0.718,0.743117354062897,0.0251173540628971,0,0,0
"48",304,46,26,3,3,2,2,2,1215,0.718,0.743117354062897,0.0251173540628971,0,0,0
"49",305,46,26,3,3,2,2,2,301,0.718,0.743117354062897,0.0251173540628971,0,0,0
"50",306,46,26,3,3,2,2,2,85,0.718,0.743117354062897,0.0251173540628971,0,0,0
"51",307,46,26,3,3,2,2,2,12,0.718,0.743117354062897,0.0251173540628971,0,0,0
"52",308,46,26,3,3,2,2,2,1538,0.718,0.743117354062897,0.0251173540628971,0,0,0
"53",309,46,26,3,3,2,2,2,999,0.718,0.743117354062897,0.0251173540628971,0,0,0
"54",310,46,26,3,3,2,2,2,3256,0.718,0.743117354062897,0.0251173540628971,0,0,0
"55",311,46,26,3,3,2,2,2,3696,0.718,0.743117354062897,0.0251173540628971,0,0,1
"56",312,46,26,3,3,2,2,2,601,0.718,0.743117354062897,0.0251173540628971,0,0,0
"57",313,46,26,3,3,2,2,2,3250,0.718,0.743117354062897,0.0251173540628971,0,0,0
"58",314,46,26,3,3,2,2,2,1508,0.718,0.743117354062897,0.0251173540628971,0,0,0
