"","edon.x","esc1","esc3","dsi_E1_E3_sec","edon.y","dis_new","dis_old","esc1.y","dsi_E1_E3_pob","pob_total","dif"
"1",1,11,11,1,1,11,6,11,1,2331,0
"2",NA,NA,13,NA,1,13,10,13,1,1189,NA
"3",1,12,12,1,1,12,11,12,1,465,0
"4",1,10,10,1,1,10,10,10,1,1473,0
"5",1,16,16,1,1,16,5,16,1,8392,0
"6",1,7,7,1,1,7,12,7,1,12481,0
"7",1,8,8,1,1,8,15,8,1,944,0
"8",NA,NA,15,NA,1,15,15,15,1,1195,NA
"9",1,9,9,1,1,9,15,9,1,2765,0
"10",1,6,6,1,1,6,11,6,1,6468,0
"11",NA,NA,14,NA,1,14,17,14,1,1295,NA
"12",1,2,2,1,1,2,2,2,1,2367,0
"13",1,3,3,1,1,3,8,3,1,1568,0
"14",1,4,4,1,1,4,1,4,1,3725,0
"15",1,18,18,1,1,18,7,18,1,8231,0
"16",1,17,17,1,1,17,4,17,1,1962,0
"17",1,1,1,1,1,1,3,1,1,6799,0
"18",NA,NA,5,NA,1,5,12,5,1,830,NA
"19",2,7,7,1,2,15,14,7,1,1952,0
"20",2,6,6,1,2,16,14,6,1,2910,0
"21",NA,NA,8,NA,2,17,15,8,1,19001,NA
"22",2,1,1,1,2,4,1,1,1,948,0
"23",2,5,5,1,2,3,2,5,1,389,0
"24",NA,NA,4,NA,2,2,4,4,1,1012,NA
"25",2,3,3,1,2,5,6,3,1,1785,0
"26",2,2,2,1,2,1,5,2,1,1043,0
"27",2,12,12,1,2,6,7,12,1,1939,0
"28",2,16,16,1,2,11,8,16,1,2750,0
"29",2,11,11,1,2,10,8,11,1,1284,0
"30",2,13,13,1,2,9,12,13,1,563,0
"31",2,17,17,1,2,8,10,17,1,1067,0
"32",NA,NA,9,NA,2,12,10,9,1,1247,NA
"33",2,14,14,1,2,13,10,14,1,1120,0
"34",NA,NA,10,NA,2,7,13,10,1,7721,NA
"35",NA,NA,15,NA,2,14,13,15,1,3528,NA
"36",3,4,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"37",3,2,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"38",3,3,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"39",3,4,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"40",3,2,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"41",3,3,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"42",3,4,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"43",3,2,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"44",3,3,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"45",3,1,1,0.233,3,1,13,1,0.230395662514345,1123,0.002604337485655
"46",3,12,12,1,3,12,1,12,1,1400,0
"47",3,11,11,1,3,11,1,11,1,949,0
"48",NA,NA,16,NA,3,16,2,16,1,1638,NA
"49",3,15,15,1,3,15,3,15,1,295,0
"50",3,13,13,1,3,13,3,13,1,1024,0
"51",3,9,9,1,3,9,16,9,1,1536,0
"52",NA,NA,8,NA,3,8,16,8,1,2167,NA
"53",NA,NA,10,NA,3,10,7,10,1,1467,NA
"54",3,5,5,1,3,5,16,5,1,1785,0
"55",NA,NA,6,NA,3,6,8,6,1,11664,NA
"56",NA,NA,7,NA,3,7,8,7,1,1833,NA
"57",4,9,11,0.5,4,11,2,9,0.452499340791803,730,0.047500659208197
"58",NA,NA,5,NA,4,5,2,10,1,14373,NA
"59",4,7,7,0.5,4,7,7,7,0.72333054052218,7054,0.22333054052218
"60",NA,NA,8,NA,4,8,3,5,0.79472538787354,1330,NA
"61",4,9,9,0.538,4,9,5,6,0.707909528907923,1229,0.169909528907923
"62",4,6,9,0.538,4,9,5,6,0.707909528907923,1229,0.169909528907923
"63",4,13,6,0.957,4,6,5,13,0.966488561498158,1053,0.00948856149815802
"64",NA,NA,10,NA,4,10,5,12,0.304644037042743,1147,NA
"65",NA,NA,10,NA,4,10,6,8,0.304644037042743,348,NA
"66",4,1,1,0.733,4,1,17,1,0.735432195363011,2181,0.00243219536301098
"67",4,3,3,0.649,4,3,19,3,0.664225899105951,754,0.015225899105951
"68",4,1,1,0.733,4,1,17,2,0.735432195363011,1908,0.00243219536301098
"69",4,14,15,0.381,4,15,11,14,0.519663887217399,7130,0.138663887217399
"70",4,19,15,0.381,4,15,11,14,0.519663887217399,7130,0.138663887217399
"71",4,14,15,0.381,4,15,11,19,0.519663887217399,6256,0.138663887217399
"72",4,19,15,0.381,4,15,11,19,0.519663887217399,6256,0.138663887217399
"73",4,17,12,0.6,4,12,9,17,0.66641079065687,1834,0.0664107906568701
"74",4,18,17,0.439,4,17,8,18,0.51817551394761,1002,0.07917551394761
"75",NA,NA,13,NA,4,13,11,15,1,8216,NA
"76",4,16,14,0.931,4,14,12,16,1,3209,0.069
"77",4,4,4,1,4,4,14,4,1,3519,0
"78",4,11,21,0.852,4,21,15,11,0.924239507123604,951,0.0722395071236041
"79",4,21,18,1,4,18,21,21,1,2711,0
"80",4,20,19,1,4,19,13,20,1,3785,0
"81",5,6,5,0.484,5,5,13,6,0.578292979340002,760,0.094292979340002
"82",5,5,3,1,5,1,15,5,1,3083,0
"83",5,7,11,0.81,5,12,5,7,0.857496874565912,7004,0.0474968745659119
"84",NA,NA,2,NA,5,6,12,2,0.277785192051738,2839,NA
"85",5,3,8,0.684,5,7,10,3,0.790421963965369,2483,0.106421963965369
"86",NA,NA,2,NA,5,6,11,1,0.277785192051738,5509,NA
"87",5,6,5,0.484,5,5,12,4,0.578292979340002,1429,0.094292979340002
"88",5,8,16,0.784,5,2,16,8,0.835004898325909,4421,0.0510048983259089
"89",5,16,13,0.495,5,14,4,16,0.392650272806468,2708,0.102349727193532
"90",NA,NA,12,NA,5,13,4,13,0.512633915322463,1456,NA
"91",5,16,13,0.495,5,14,1,14,0.392650272806468,2321,0.102349727193532
"92",NA,NA,15,NA,5,16,3,15,0.599318082316574,2822,NA
"93",5,12,7,1,5,8,9,12,1,4860,0
"94",5,11,10,1,5,9,9,11,1,1195,0
"95",5,9,9,1,5,11,9,9,1,1338,0
"96",NA,NA,6,NA,5,10,8,10,1,633,NA
"97",6,15,11,0.931,6,6,1,15,0.949798567591764,5884,0.0187985675917639
"98",6,16,12,0.8,6,2,2,16,0.748400553538838,1916,0.051599446461162
"99",6,15,11,0.931,6,6,1,14,0.949798567591764,950,0.0187985675917639
"100",6,16,9,0.429,6,1,2,13,0.441323971915747,1493,0.012323971915747
"101",6,1,14,0.371,6,4,4,1,0.359600061952537,2841,0.011399938047463
"102",NA,NA,13,NA,6,5,5,2,0.340433102887353,1740,NA
"103",6,4,15,0.267,6,7,7,4,0.240930698023518,7725,0.026069301976482
"104",6,4,15,0.267,6,7,4,3,0.240930698023518,5100,0.026069301976482
"105",6,5,16,1,6,8,7,5,1,1436,0
"106",6,12,7,1,6,16,3,12,1,1559,0
"107",6,8,4,0.529,6,13,13,8,0.547916021072203,463,0.018916021072203
"108",6,8,4,0.529,6,13,13,7,0.547916021072203,1344,0.018916021072203
"109",6,7,2,0.295,6,14,11,6,0.281704581864787,2523,0.013295418135213
"110",6,8,3,0.714,6,12,14,9,0.928110554699538,6988,0.214110554699538
"111",6,10,6,1,6,10,10,10,1,4006,0
"112",NA,NA,8,NA,6,15,9,11,1,1725,NA
"113",7,5,24,0.285,7,18,16,5,0.292093619909643,5562,0.00709361990964302
"114",7,1,16,0.491,7,3,3,1,0.505803245908787,3339,0.014803245908787
"115",7,19,23,0.382,7,20,7,19,0.434815153959637,4060,0.052815153959637
"116",7,23,11,0.524,7,11,12,23,0.533310737577611,3226,0.00931073757761103
"117",7,9,18,0.386,7,17,17,9,0.332971510811326,2716,0.053028489188674
"118",7,11,6,0.426,7,15,15,11,0.394510873166899,1760,0.031489126833101
"119",7,10,9,0.185,7,2,14,10,0.233324405633171,6772,0.048324405633171
"120",7,12,19,0.331,7,24,24,12,0.323394274020734,2650,0.00760572597926601
"121",7,20,20,1,7,9,9,20,1,1464,0
