"","    edon.x","  dis_old.x","     esc1","dsi_SQ_E1_sec","    edon.y","   dis_new","  dis_old.y","     esc3","dsi_SQ_E1_pob","  pob_total","     dif"
"","Min.   : 1.00  ","Min.   : 0.00  ","Min.   : 1.00  ","Min.   :0.0280  ","Min.   : 1.0  ","Min.   : 1.00  ","Min.   : 0.00  ","Min.   : 1.00  ","Min.   :0.02485  ","Min.   :   16  ","Min.   :0.00000  "
"","1st Qu.: 9.00  ","1st Qu.: 6.00  ","1st Qu.: 6.00  ","1st Qu.:0.3230  ","1st Qu.: 9.0  ","1st Qu.: 5.00  ","1st Qu.: 6.00  ","1st Qu.: 5.00  ","1st Qu.:0.30774  ","1st Qu.: 1123  ","1st Qu.:0.01222  "
"","Median :15.00  ","Median :11.00  ","Median :11.00  ","Median :0.4250  ","Median :15.0  ","Median :10.00  ","Median :11.00  ","Median :10.00  ","Median :0.44838  ","Median : 1839  ","Median :0.03834  "
"","Mean   :16.22  ","Mean   :12.03  ","Mean   :11.77  ","Mean   :0.4652  ","Mean   :16.2  ","Mean   :10.87  ","Mean   :12.06  ","Mean   :10.94  ","Mean   :0.47246  ","Mean   : 2628  ","Mean   :0.06346  "
"","3rd Qu.:24.00  ","3rd Qu.:17.00  ","3rd Qu.:16.00  ","3rd Qu.:0.5930  ","3rd Qu.:24.0  ","3rd Qu.:15.00  ","3rd Qu.:17.00  ","3rd Qu.:15.00  ","3rd Qu.:0.61823  ","3rd Qu.: 2914  ","3rd Qu.:0.08557  "
"","Max.   :32.00  ","Max.   :45.00  ","Max.   :44.00  ","Max.   :1.0000  ","Max.   :32.0  ","Max.   :45.00  ","Max.   :45.00  ","Max.   :43.00  ","Max.   :1.00000  ","Max.   :23216  ","Max.   :0.79879  "
"","NA's   :8  ","NA's   :13  ",NA,"NA's   :8  ",NA,NA,"NA's   :5  ",NA,NA,NA,"NA's   :8  "
