"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"3",333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"4",334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"5",335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"6",1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"8",1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"9",1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"10",1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"14",1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"15",1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16",1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"20",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"22",1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"23",1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"24",2347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"25",2348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",2349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"27",2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"28",2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",2352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"30",2353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"31",2354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",2355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"33",2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"34",2357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"35",2358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",2359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",2361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",2363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"42",2365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
