"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
11,13,18,4,1,0.458,0.458,1
11,22,22,8,2,0.683,0.792,0.862
11,9,9,6,3,0.56,0.56,1
11,17,22,8,2,0.683,0.792,0.862
11,2,2,10,4,1,1,1
11,16,16,21,22,0.305,0.388,0.856
11,15,16,21,22,0.305,0.388,0.856
11,18,10,7,5,0.368,0.368,1
11,21,19,5,7,0.598,0.598,1
11,1,1,3,8,0.894,0.906,0.974
11,8,8,9,9,0.517,0.528,0.946
11,19,18,4,1,0.458,0.458,1
11,11,11,13,13,0.349,0.349,1
11,12,11,13,13,0.349,0.349,1
11,4,3,17,16,0.344,0.306,0.894
11,3,3,17,16,0.344,0.306,0.894
11,7,7,19,18,0.244,0.246,0.781
11,5,7,19,18,0.244,0.246,0.781
11,6,7,19,18,0.244,0.246,0.781
11,20,20,11,10,0.604,0.604,1
11,10,10,7,5,0.368,0.368,1
11,14,14,12,12,0.463,0.463,1
