"","SECCION","munn.x","edon.x","disloc2018","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",13,1,24,4,4,4,2,1,1422,0.505,0.647024111074616,0.142024111074616,1,0,0
"14",13,1,24,4,4,4,2,1,5385,0.505,0.519352532938594,0.014352532938594,1,0,0
"15",13,1,24,4,4,4,2,1,2564,0.505,0.558775244299674,0.053775244299674,1,0,0
"16",13,1,24,4,4,4,2,1,2261,0.505,0.616422579490452,0.111422579490452,1,0,0
"17",13,1,24,4,4,4,2,1,2696,0.505,1,0.495,1,0,0
"18",13,1,24,4,4,4,2,1,2734,0.505,1,0.495,1,0,0
"19",13,1,24,4,4,4,2,1,2786,0.505,0.519352532938594,0.014352532938594,1,0,0
"20",13,1,24,4,4,4,2,1,1298,0.505,1,0.495,1,0,0
"21",13,1,24,4,4,4,2,1,2668,0.505,0.558775244299674,0.053775244299674,1,0,0
"22",13,1,24,4,4,4,2,1,1723,0.505,0.869223717654902,0.364223717654902,1,0,0
"23",13,1,24,4,4,4,2,1,3077,0.505,0.507186982678564,0.00218698267856399,1,0,0
"24",13,1,24,4,4,4,2,1,1969,0.505,1,0.495,1,0,0
"25",13,1,24,4,4,4,2,1,3167,0.505,0.869223717654902,0.364223717654902,1,0,0
"26",13,1,24,4,4,4,2,1,1153,0.505,1,0.495,1,0,0
"27",13,1,24,4,4,4,2,1,14321,0.505,1,0.495,1,0,0
"28",13,1,24,4,4,4,2,1,1715,0.505,1,0.495,1,0,0
"29",13,1,24,4,4,4,2,1,1398,0.505,1,0.495,1,0,0
"30",13,1,24,4,4,4,2,1,11799,0.505,1,0.495,1,0,0
"31",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"33",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"34",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"35",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"42",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"44",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"45",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"46",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"52",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"54",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"55",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"56",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"58",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"63",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
