"edon.x","disloc2013","escenario3","dsiSQ_E3"
25,3,3,0.331
25,4,3,0.331
25,8,2,0.584
25,11,23,0.539
25,21,11,0.624
25,16,19,0.321
25,24,18,0.135
25,12,20,0.287
25,13,17,0.241
25,14,17,0.241
25,1,1,0.713
25,17,19,0.321
25,23,10,0.579
25,2,1,0.713
25,6,6,0.419
25,7,4,0.55
25,20,11,0.624
25,19,14,0.203
25,10,23,0.539
25,22,10,0.579
25,9,2,0.584
25,18,19,0.321
25,5,5,0.829
25,15,24,0.73
