"edon.x","disloc2016","disloc2013","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
1,11,6,11,11,0.426,0.426,1
1,13,10,13,13,0.458,0.458,1
1,12,11,12,12,0.779,0.779,1
1,10,10,10,10,0.671,0.671,1
1,16,5,16,16,0.25,0.25,1
1,7,12,7,7,0.522,0.522,1
1,8,15,8,8,0.321,0.321,1
1,15,15,15,15,0.278,0.278,1
1,9,15,9,9,0.322,0.322,1
1,6,11,6,6,0.594,0.594,1
1,14,17,14,14,0.644,0.644,1
1,2,2,2,2,1,1,1
1,3,8,3,3,0.8,0.8,1
1,4,1,4,4,0.765,0.765,1
1,18,7,18,18,1,1,1
1,17,4,17,17,1,1,1
1,1,3,1,1,1,1,1
1,5,12,5,5,0.327,0.327,1
