"edon.x","disloc2013","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
21,17,12,12,1,0.943,0.957,0.986
21,6,5,16,2,0.349,0.241,0.51
21,23,23,8,3,0.744,0.789,0.937
21,18,13,6,4,0.855,0.793,0.923
21,22,22,3,5,0.839,0.877,0.957
21,2,2,19,6,0.296,0.845,0.311
21,26,26,18,19,0.925,0.925,1
21,20,14,10,8,0.819,0.667,0.762
21,3,3,7,7,0.306,0.624,0.47
21,5,5,16,2,0.349,0.241,0.51
21,21,21,11,10,0.812,0.836,0.975
21,8,8,2,11,0.39,0.39,1
21,25,24,17,9,0.279,0.279,1
21,4,2,19,6,0.296,0.845,0.311
21,9,8,2,11,0.39,0.39,1
21,24,25,5,12,0.328,0.328,1
21,7,8,2,11,0.39,0.39,1
21,1,1,15,14,1,0.938,0.938
21,19,15,14,15,0.843,0.843,1
21,13,17,26,26,0.655,0.655,1
21,11,17,26,26,0.655,0.655,1
21,10,9,22,20,0.261,0.261,1
21,14,19,25,25,0.408,0.408,1
21,15,19,25,25,0.408,0.408,1
21,16,19,25,25,0.408,0.408,1
21,12,10,24,24,0.213,0.213,1
21,0,18,9,16,0.411,0.411,1
